timestamp_utc,recommended_profile,recommendation_reason,recommendation_reliable,seat_bias_p1_minus_p2,match_quality_decisive_rate,match_quality_draw_rate,match_quality_low_decisive_rate_alert,profiles,games_per_matchup,max_actions,shuffle_decks,seat_balanced,seed,source_json
2026-02-26T23:18:08.647001+00:00,aggressive,tied_or_inconclusive,True,0.0,,,,"balanced,aggressive",1,20,False,True,,artifacts\profile_matchups.json
2026-02-26T23:18:10.212549+00:00,aggressive,tied_or_inconclusive,True,0.0,,,,"balanced,aggressive",1,20,False,True,,artifacts\profile_matchups.json
